ID,Name,Description,module,submodule,kind,datatype,dim,typespec,unitset,multivalued,dataset
4,NPPossessionLocusDistribution,Distributuion of locus of marking across types of possessive relations,Categories,,manual data entry,value-list,1,"""string""",false,false,Alienability
5,NPHasPossessiveClassification,"Presence of any possessive classification, either in the form overtly marked classes or in the form of bound nouns",Categories,,computed data (aggregation-scripts/enhancements/Alienability.R),logical,1,"""boolean""",false,false,Alienability
6,NPPossessiveClassificationType,Type of possessive classification,Categories,,manual data entry,value-list,1,"""string""",false,false,Alienability
7,NPHasBoundNouns,Presence of bound (obligatorily possessed) nouns,Categories,,computed data (aggregation-scripts/enhancements/Alienability.R),logical,1,"""boolean""",false,false,Alienability
8,NPBoundNounsCount,Number of bound (obligatorily possessed) nouns,Categories,,manual data entry,integer,1,"""integer""",false,false,Alienability
9,NPHasAlienableClasses,Presence of any alienable classes,Categories,,computed data (aggregation-scripts/enhancements/Alienability.R),logical,1,"""boolean""",false,false,Alienability
10,NPAlienableClassesCount,Number of alienable classes,Categories,,manual data entry,integer,1,"""integer""",false,false,Alienability
11,NPHasInalienableClasses,Presence of any inalienable class,Categories,,computed data (aggregation-scripts/enhancements/Alienability.R),logical,1,"""boolean""",false,false,Alienability
12,NPInalienableClassesCount,Number of inalienable classes,Categories,,manual data entry,integer,1,"""integer""",false,false,Alienability
13,NPHasPossessiveClasses,"Presence of any possessive class distinction, distinguished by overt markers or differences in the form of the possessor or the possessed or both",Categories,,computed data (aggregation-scripts/enhancements/Alienability.R),logical,1,"""boolean""",false,false,Alienability
14,NPHasMultiplePossessiveClasses,Presence of multiple (more then one) overt possessive classes,Categories,,computed data (aggregation-scripts/enhancements/Alienability.R),logical,1,"""boolean""",false,false,Alienability
15,NPPossessiveClassesCount,"Number of possessive classes, distinguished by overt markers or differences in the form of the possessor or the possessed or both",Categories,,manual data entry,integer,1,"""integer""",false,false,Alienability
