"LID","VAgrA.Presence","VAgrP.Presence","VAgrPOSS.Presence"
1,,TRUE,
7,TRUE,TRUE,FALSE
9,TRUE,TRUE,
10,TRUE,TRUE,
12,TRUE,TRUE,FALSE
14,TRUE,TRUE,
17,TRUE,TRUE,FALSE
20,TRUE,TRUE,
21,TRUE,,
22,TRUE,TRUE,
25,TRUE,,
26,TRUE,TRUE,
27,TRUE,TRUE,
28,TRUE,,
32,TRUE,TRUE,
34,TRUE,TRUE,
35,TRUE,TRUE,FALSE
40,TRUE,TRUE,
43,,TRUE,
44,TRUE,,
47,TRUE,TRUE,
48,TRUE,FALSE,FALSE
49,,TRUE,
50,TRUE,TRUE,FALSE
51,TRUE,,
55,TRUE,TRUE,
56,TRUE,TRUE,FALSE
59,TRUE,TRUE,
61,TRUE,TRUE,
63,TRUE,TRUE,
69,TRUE,FALSE,FALSE
72,,,
74,TRUE,FALSE,FALSE
77,TRUE,TRUE,FALSE
78,TRUE,FALSE,FALSE
79,TRUE,TRUE,FALSE
80,TRUE,TRUE,
81,TRUE,,
82,TRUE,TRUE,
86,TRUE,TRUE,FALSE
87,TRUE,FALSE,FALSE
89,TRUE,TRUE,
91,TRUE,TRUE,
93,TRUE,TRUE,
98,TRUE,TRUE,
100,TRUE,FALSE,FALSE
101,TRUE,,
103,TRUE,TRUE,
104,TRUE,TRUE,FALSE
106,TRUE,,
107,TRUE,TRUE,FALSE
110,TRUE,FALSE,FALSE
112,TRUE,TRUE,FALSE
113,TRUE,TRUE,
114,FALSE,TRUE,FALSE
116,TRUE,TRUE,
118,TRUE,FALSE,FALSE
119,TRUE,TRUE,
123,TRUE,TRUE,
125,TRUE,TRUE,
126,TRUE,TRUE,
129,TRUE,TRUE,
130,TRUE,,
132,TRUE,TRUE,
134,TRUE,TRUE,
135,TRUE,TRUE,
136,TRUE,,
138,TRUE,,
139,TRUE,,
141,TRUE,,
145,TRUE,TRUE,FALSE
147,TRUE,TRUE,
149,TRUE,TRUE,FALSE
150,TRUE,TRUE,
152,TRUE,TRUE,FALSE
154,TRUE,TRUE,FALSE
155,TRUE,TRUE,
156,TRUE,TRUE,
159,TRUE,TRUE,FALSE
165,TRUE,TRUE,
167,TRUE,TRUE,
168,TRUE,,
173,TRUE,TRUE,
176,TRUE,TRUE,
177,TRUE,TRUE,FALSE
178,TRUE,TRUE,
180,TRUE,TRUE,
181,TRUE,TRUE,
186,TRUE,,
191,TRUE,TRUE,
192,TRUE,FALSE,FALSE
193,TRUE,FALSE,FALSE
196,TRUE,TRUE,FALSE
197,TRUE,,
199,,TRUE,
200,TRUE,TRUE,
201,TRUE,,
202,TRUE,TRUE,
