"LID","VInflAktionsart.Post.Presence","VInflApplicative.Post.Presence","VInflAspect.Post.Presence","VInflCausative.Post.Presence","VInflClassifier.Post.Presence","VInflConnective.Post.Presence","VInflConstruct.Post.Presence","VInflControl.Post.Presence","VInflDeixis.Post.Presence","VInflVoice.Post.Presence","VInflFocus.Post.Presence","VInflPosterior.Post.Presence","VInflGender.Post.Presence","VInflIllocution.Post.Presence","VInflMA.Post.Presence","VInflMN.Post.Presence","VInflModality.Post.Presence","VInflMood.Post.Presence","VInflMotion.Post.Presence","VInflMSE.Post.Presence","VInflNominalizer.Post.Presence","VInflNumber.Post.Presence","VInflPerson.Post.Presence","VInflPolarity.Post.Presence","VInflPotentialis.Post.Presence","VInflQuantificational.Post.Presence","VInflReflexive_and_Reciprocal.Post.Presence","VInflRECIP.Post.Presence","VInflReferential.Post.Presence","VInflReflexive.Post.Presence","VInflRepetition.Post.Presence","VInflReversative.Post.Presence","VInflSemistem.Post.Presence","VInflSpatial.Post.Presence","VInflStatus.Post.Presence","VInflSwitch_reference.Post.Presence","VInflTense_and_Evidential.Post.Presence","VInflTA.Post.Presence","VInflTAM.Post.Presence","VInflTense.Post.Presence","VInflTM.Post.Presence","VInflValence.Post.Presence","VInflVersion.Post.Presence"
1,,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,TRUE,,,
7,TRUE,FALSE,,FALSE,,,,,FALSE,,,,,TRUE,,,,,,,,,,,,TRUE,,,,FALSE,,,FALSE,TRUE,,,,,TRUE,TRUE,,,
10,TRUE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
14,TRUE,,TRUE,,,,,,FALSE,,,,,FALSE,,,,TRUE,,,,,,,,,,,,,,,,,TRUE,,,,,FALSE,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
17,,,FALSE,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,TRUE,,,
18,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,TRUE,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
20,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
25,,,,,,,,,,TRUE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,TRUE,,
27,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,TRUE,,,,,
34,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,
35,TRUE,,,,,TRUE,,,,FALSE,,,,,,,,TRUE,,,,,,FALSE,,,,,,,,,FALSE,,,,,,TRUE,,,TRUE,
43,,,,,,,,,,,,,,,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
