"LID","VInflAktionsart.Position.binned5","VInflApplicative.Position.binned5","VInflAspect.Position.binned5","VInflCausative.Position.binned5","VInflClassifier.Position.binned5","VInflConnective.Position.binned5","VInflConstruct.Position.binned5","VInflControl.Position.binned5","VInflDeixis.Position.binned5","VInflVoice.Position.binned5","VInflFocus.Position.binned5","VInflPosterior.Position.binned5","VInflGender.Position.binned5","VInflIllocution.Position.binned5","VInflMA.Position.binned5","VInflMN.Position.binned5","VInflModality.Position.binned5","VInflMood.Position.binned5","VInflMotion.Position.binned5","VInflMSE.Position.binned5","VInflNominalizer.Position.binned5","VInflNumber.Position.binned5","VInflPerson.Position.binned5","VInflPolarity.Position.binned5","VInflPotentialis.Position.binned5","VInflQuantificational.Position.binned5","VInflReflexive_and_Reciprocal.Position.binned5","VInflRECIP.Position.binned5","VInflReferential.Position.binned5","VInflReflexive.Position.binned5","VInflRepetition.Position.binned5","VInflReversative.Position.binned5","VInflSemistem.Position.binned5","VInflSpatial.Position.binned5","VInflStatus.Position.binned5","VInflSwitch_reference.Position.binned5","VInflTense_and_Evidential.Position.binned5","VInflTA.Position.binned5","VInflTAM.Position.binned5","VInflTense.Position.binned5","VInflTM.Position.binned5","VInflValence.Position.binned5","VInflVersion.Position.binned5"
1,,,,"prae","prae",,"prae",,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,"post",,,
7,"post","prae",,"prae",,,,,"prae",,,,,"post",,,,,,,,,,,,"post",,,,"prae",,,"prae","post",,,,,"post","split",,,
10,"post",,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,
14,"post",,"post",,,,,,"prae",,,,,"prae",,,,"post",,,,,,,,,,,,,,,,,"post",,,,,"prae",,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
17,,,"prae",,,,,,,"post",,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,,"post",,,
20,,,"in",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"post",,,,
20,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,"in",,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,
