"LID","BehaviorCase.binned4","BehaviorNeg.binned4","BehaviorNounPlural.binned4","BehaviorTense.binned4","BehaviorCase.spreading.Presence","BehaviorNeg.spreading.Presence","BehaviorNounPlural.spreading.Presence","BehaviorTense.spreading.Presence","BehaviorCase","BehaviorNeg","BehaviorNounPlural","BehaviorTense","PolyexponentialityCase.Presence","PolyexponentialityNegation.Presence","PolyexponentialityNounPlural.Presence","PolyexponentialityTense.Presence","ExponentialityCase.n","ExponentialityNegation.n","ExponentialityNounPlural.n","ExponentialityTense.n","ExponentialityCase","ExponentialityNegation","ExponentialityNounPlural","ExponentialityTense","FlexivityFormativeCase","FlexivityFormativeNeg","FlexivityFormativeNounPlural","FlexivityFormativeTense","FusionCase.binned.binned6","FusionNegation.binned.binned6","FusionNounPlural.binned.binned6","FusionTense.binned.binned6","FusionCase","FusionNegation","FusionNounPlural","FusionTense","FusionCase.isolating.Presence","FusionNegation.isolating.Presence","FusionNounPlural.isolating.Presence","FusionTense.isolating.Presence","FusionCase.nonlinear.Presence","FusionNegation.nonlinear.Presence","FusionNounPlural.nonlinear.Presence","FusionTense.nonlinear.Presence","FusionCase.reduplicative.Presence","FusionNegation.reduplicative.Presence","FusionNounPlural.reduplicative.Presence","FusionTense.reduplicative.Presence","FusionCase.tonal.Presence","FusionNegation.tonal.Presence","FusionNounPlural.tonal.Presence","FusionTense.tonal.Presence","MorphemeTypeCase","MorphemeTypeNeg","PositionCase.post.Presence","PositionNeg.post.Presence","PositionNounPlural.post.Presence","PositionTense.post.Presence","PositionCase.binned4","PositionNeg.binned4","PositionNounPlural.binned4","PositionTense.binned4","PositionCase.binned5","PositionNeg.binned5","PositionNounPlural.binned5","PositionTense.binned5","PositionCase","PositionNeg","PositionNounPlural","PositionTense","PositionCase.pre.Presence.v1","PositionNeg.pre.Presence.v1","PositionNounPlural.pre.Presence.v1","PositionTense.pre.Presence.v1","PositionCase.pre.Presence.v2","PositionNeg.pre.Presence.v2","PositionNounPlural.pre.Presence.v2","PositionTense.pre.Presence.v2","PositionCase.simul.Presence.v1","PositionNeg.simul.Presence.v1","PositionNounPlural.simul.Presence.v1","PositionTense.simul.Presence.v1","PositionCase.simul.Presence.v2","PositionNeg.simul.Presence.v2","PositionNounPlural.simul.Presence.v2","PositionTense.simul.Presence.v2","HostRestrictionsCase","HostRestrictionsNegation","HostRestrictionsNounPlural","HostRestrictionsTense","FlexivityStemCase","FlexivityStemNeg","FlexivityStemNounPlural","FlexivityStemTense"
136,,,,,,FALSE,,,,"inert",,,FALSE,FALSE,FALSE,,1,1,1,,"Role","Polarity","Number",,,"none",,,,"concatenative",,,,"concatenative",,,,FALSE,,,,"linear",,,,"non-reduplicative",,,,FALSE,,,,"formative",,TRUE,TRUE,,,"post","post",,,"post","post",,,"post","post",,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,"restricted","restricted",,,,"none",,
456,,,,,,FALSE,FALSE,,,"inert","inert",,FALSE,FALSE,FALSE,FALSE,1,1,1,1,"Role","Polarity","Number","Tense",,"none",,,"concatenative","concatenative","concatenative","concatenative","concatenative","concatenative","concatenative","concatenative",FALSE,FALSE,FALSE,FALSE,"linear","linear","linear","linear","non-reduplicative","non-reduplicative","non-reduplicative","non-reduplicative",FALSE,FALSE,FALSE,FALSE,"formative","formative",TRUE,FALSE,TRUE,TRUE,"post","prae","post","post","post","prae","post","post","post","prae","post","post",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"restricted",,,"none","none",,"lex-based"
118,"final",,,,FALSE,FALSE,,FALSE,"final","inert",,"inert",FALSE,TRUE,,FALSE,1,2,0,1,"Role","Honorificity;Polarity",,"TAM","none","none",,"none","concatenative","concatenative",,"concatenative","concatenative","concatenative",,"concatenative",FALSE,FALSE,,FALSE,"linear","linear",,"linear","non-reduplicative","non-reduplicative",,"non-reduplicative",FALSE,FALSE,,FALSE,"formative","formative",TRUE,TRUE,,TRUE,"post","post",,"post","post","post",,"post","post","post",,"post",FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,"restricted","restricted","restricted","restricted","none","none",,"none"
171,"initial","initial",,,FALSE,FALSE,,FALSE,"initial","initial",,"inert",FALSE,FALSE,FALSE,FALSE,1,1,1,1,"Role","Polarity","Number","TAM",,"none",,"none","isolating","isolating","concatenative","concatenative","isolating","isolating","concatenative","concatenative",TRUE,TRUE,FALSE,FALSE,"linear","linear","linear","linear","non-reduplicative","non-reduplicative","non-reduplicative","non-reduplicative",FALSE,FALSE,FALSE,FALSE,"any","formative",FALSE,FALSE,TRUE,TRUE,"prae","prae","post","post","prae","prae","post","post","prae","prae","post","post",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"restricted","restricted","restricted",,"none",,"none"
17,,,,,,FALSE,,,,"inert",,,FALSE,,FALSE,,1,0,1,,"Role",,"Number",,"cat-based",,,,"concatenative","concatenative",,,"concatenative","concatenative",,,FALSE,FALSE,,,"linear","linear",,,"non-reduplicative","non-reduplicative",,,FALSE,FALSE,,,"formative","formative",TRUE,FALSE,TRUE,,"post","prae","post",,"post","prae","post",,"post","prae","post",,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,"none",,,
682,,,,,,,,,,,,,FALSE,,,,1,,,,"Role",,,,"none",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"restricted",,,,"none",,,
150,,,,,,,,,,,,,TRUE,,,FALSE,2,,,1,"Referential;Role",,,"Tense",,,,,"concatenative",,,"concatenative","concatenative",,,"concatenative",FALSE,,,FALSE,"linear",,,"linear","non-reduplicative",,,"non-reduplicative",FALSE,,,FALSE,"formative",,,,,FALSE,,,,"prae",,,,"prae",,,,"prae",,,,TRUE,,,,TRUE,,,,FALSE,,,,FALSE,,,,,,,,
398,,,,,,FALSE,FALSE,,,"inert","inert",,,FALSE,FALSE,,,1,1,,,"Polarity","Number",,,"none",,,,"concatenative","concatenative",,,"concatenative","concatenative_and_reduplicative",,,FALSE,FALSE,,,"linear","nonlinear",,,"non-reduplicative","non-reduplicative",,,FALSE,FALSE,,,"formative",,TRUE,TRUE,,,"post","post",,,"post","post",,,"post","post",,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,"restricted","restricted",,,"none",,
416,"final",,,,FALSE,FALSE,,,"final","inert",,,FALSE,FALSE,,,1,1,,,"Role","Polarity",,,"lex-based","none",,,"concatenative","concatenative",,,"concatenative","concatenative_default_or_isolating",,,FALSE,FALSE,,,"linear","linear",,,"non-reduplicative","non-reduplicative",,,FALSE,FALSE,,,"formative","formative",TRUE,TRUE,,,"post","post",,,"post","post",,,"post","post",,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,FALSE,FALSE,,,"restricted","semi-restricted",,,"none","none",,
576,,,,,,FALSE,,,,"inert",,,FALSE,FALSE,,TRUE,1,1,0,3,"Role","Polarity",,"Number;Person;TAM",,"cat-based",,"cat-based",,"concatenative",,"isolating",,"concatenative",,"isolating",,FALSE,,TRUE,,"linear",,"linear",,"non-reduplicative",,"non-reduplicative",,FALSE,,FALSE,,"formative",,TRUE,,TRUE,,"post",,"post",,"post",,"post",,"post",,"post",,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,"restricted","restricted","restricted",,,"none",,
